question,top_retrieved_chunk,top_2_retrieved_chunk,top_3_retrieved_chunk
ما هي وثيقة العمل الحر؟,المادة التاسعة : اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,المادة الحادية والتسعون : 1- إذا تسبب عامل في فقد أو إتلاف أو تدمير آلات أو منتجات يملكها صاحب العمل أو هي في عهدته وكان ذلك ناشئًا عن خطأ العامل أو مخالفته تعليمات صاحب العمل ولم يكن نتيجة لخطأ الغير أو ناشئًا عن قوة قاهرة، فلصاحب العمل أن يقتطع من أجر العامل المبلغ اللازم للإصلاح أو لإعادة الوضع إلى ما كان عليه على ألا يزيد ما يقتطع لهذا الغرض على أجر خمسة أيام في كل شهر، ولصاحب العمل الحق في التظلم عند الاقتضاء، وذلك بطلب ما هو أكثر من ذلك إذا كان للعامل مال آخر يمكن الاستيفاء منه، وللعامل أن يتظلم مما نسب إليه أو من تقدير صاحب العمل للتعويض أمام هيئة تسوية الخلافات العمالية، فإذا حكمت بعدم أحقية صاحب العمل في الرجوع على العامل بما اقتطعه منه أو حكمت بأقل منه وجب على صاحب العمل أن يرد إلى العامل ما اقتطع منه دون وجه حق خلال سبعة أيام من تاريخ صدور الحكم. 2 - يكون تظلم أي من الطرفين خلال خمسة عشر يوم عمل، وإلا سقط الحق فيه، ويبدأ موعد التظلم بالنسبة إلى صاحب العمل من تاريخ اكتشاف الواقعة، وبالنسبة إلى العامل من تاريخ إبلاغ صاحب العمل له بذلك.,المادة العاشرة : تحسب جميع المدد والمواعيد المنصوص عليها في هذا النظام بالتقويم الهجري، ما لم ينص في عقد العمل أو لائحة تنظيم العمل على خلاف ذلك.
ما هي واجبات العامل تجاه السلامة؟,المادة الثانية والسبعون بعد المائة : يجب أن تعلن في السفينة وفي القسم المخصص للعاملين فيها قواعد العمل على ظهرها وشروطه، ويجب أن تتضمن القواعد والشروط ما يأتي 1 - التزامات البحارة وواجباتهم وقواعد تنظيم العمل على ظهر السفينة والجداول الزمنية للخدمة، وساعات العمل اليومية. 2 - واجبات مجهز السفينة تجاه البحارة، من حيث الأجور الثابتة والمكافآت، وغير ذلك من أنواع الأجر. 3 - كيفية تعليق دفع الأجور أو الحسم منها، وكيفية دفع السلف على الأجور. 4 - مكان تصفية الأجور وزمانها، وحسابها النهائي. 5 - قواعد تقديم الغذاء والمبيت وأصولها على ظهر السفينة. 6 - علاج أمراض البحارة وإصاباتهم. 7 - سلوك البحارة وشروط ترحيلهم إلي بلدهم . 8 - إجازات البحارة السنوية المدفوعة الأجر. 9 - مكافأة نهاية الخدمة وغير ذلك من التعويضات التي ستدفع بمناسبة إنهاء عقد العمل أو انتهائه.,المادة الحادية والتسعون : 1- إذا تسبب عامل في فقد أو إتلاف أو تدمير آلات أو منتجات يملكها صاحب العمل أو هي في عهدته وكان ذلك ناشئًا عن خطأ العامل أو مخالفته تعليمات صاحب العمل ولم يكن نتيجة لخطأ الغير أو ناشئًا عن قوة قاهرة، فلصاحب العمل أن يقتطع من أجر العامل المبلغ اللازم للإصلاح أو لإعادة الوضع إلى ما كان عليه على ألا يزيد ما يقتطع لهذا الغرض على أجر خمسة أيام في كل شهر، ولصاحب العمل الحق في التظلم عند الاقتضاء، وذلك بطلب ما هو أكثر من ذلك إذا كان للعامل مال آخر يمكن الاستيفاء منه، وللعامل أن يتظلم مما نسب إليه أو من تقدير صاحب العمل للتعويض أمام هيئة تسوية الخلافات العمالية، فإذا حكمت بعدم أحقية صاحب العمل في الرجوع على العامل بما اقتطعه منه أو حكمت بأقل منه وجب على صاحب العمل أن يرد إلى العامل ما اقتطع منه دون وجه حق خلال سبعة أيام من تاريخ صدور الحكم. 2 - يكون تظلم أي من الطرفين خلال خمسة عشر يوم عمل، وإلا سقط الحق فيه، ويبدأ موعد التظلم بالنسبة إلى صاحب العمل من تاريخ اكتشاف الواقعة، وبالنسبة إلى العامل من تاريخ إبلاغ صاحب العمل له بذلك.,المادة التاسعة : اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.
هل يتحمل المتدرب تكاليف التدريب وفق المادة 15؟,"المادة الثامنة والأربعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - لصاحب العمل أن ينهي عقد التأهيل أو التدريب إذا ثبت له عدم قابلية أو قدرة المتدرب أو الخاضع للتأهيل على إكمال برامج التدريب أو التأهيل بصورة مفيدة، وللمتدرب أو الخاضع للتأهيل أو وليه أو وصيه مثل هذا الحق. وعلى الطرف الذي يرغب في إنهاء العقد إبلاغ الطرف الآخر بذلك قبل أسبوع على الأقل من تاريخ التوقف عن التدريب أو التأهيل. 2 - لصاحب العمل - بعد إكمال مدة التدريب أو التأهيل - أن يلزم المتدرب أو الخاضع للتأهيل بأن يعمل لديه مدة مماثلة لمدة التدريب أو التأهيل، فإن رفض أو امتنع المتدرب أو الخاضع للتأهيل عن العمل المدة المماثلة أو بعضها؛ وجب عليه أن يدفع لصاحب العمل تكاليف التدريب أو التأهيل التي تحملها صاحب العمل أو بنسبة المدة الباقية منها"".","المادة السابعة والأربعون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي "" للوزير أن يلزم المنشآت بقبول عدد أو تنسبة محددة من طلاب الجامعات والكليات والمعاهد والمراكز وخريجيها؛ بغية التدريب واستكمال الخبرة العملية، وفق الشروط والأوضاع والمدد التي تحددها اللائحة، على أن يُبرم عقد تدريب بين المتدرب وصاحب العمل تطبق في شأنه الأحكام الواردة في هذا الفصل. وللمنشأة أن تقدم مكافأة للمتدرب "".","المادة السادسة والأربعون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي "" يجب أن يكون عقد التأهيل أو التدريب مكتوباً، وأن يحدد فيه نوع المهنة المتعاقد للتدريب عليها، ومقدار المكافأة التي تعطى للمتدرب في كل مرحلة، على ألا يكون تحديدها على أساس القطعة أو الإنتاج، ويجب أن تُبيَّن في العقد حقوق المتدرب وصاحب العمل وواجباتهما، وما إذا كان التأهيل أو التدريب في منشأة تتبع صاحب العمل أو لدى منشأة أخرى ""."
ما هو سجل الدخول للمنجم؟,المادة الرابعة والثلاثون بعد المائة : تعد الإصابة إصابة عمل وفق ما هو منصوص عليه في نظام التأمينات الاجتماعية، وتعد الأمراض المهنية في حكم إصابات العمل، كما يعد تاريخ أول مشاهدة طبية للمرض في حكم تاريخ الإصابة.,المادة التاسعة : اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,المادة الخمسون : عقد العمل هو عقد مبرم بين صاحب عمل وعامل، يتعهد الأخير بموجبه أن يعمل تحت إدارة صاحب العمل أو إشرافه مقابل أجر.
لدى منشأة عليها إعفاء من المقابل المالي وأريد نقل ملكيتها هل يستمر الإعفاء ؟,"المادة السادسة والأربعون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي "" يجب أن يكون عقد التأهيل أو التدريب مكتوباً، وأن يحدد فيه نوع المهنة المتعاقد للتدريب عليها، ومقدار المكافأة التي تعطى للمتدرب في كل مرحلة، على ألا يكون تحديدها على أساس القطعة أو الإنتاج، ويجب أن تُبيَّن في العقد حقوق المتدرب وصاحب العمل وواجباتهما، وما إذا كان التأهيل أو التدريب في منشأة تتبع صاحب العمل أو لدى منشأة أخرى "".",المادة السابعة والتسعون : إذا جرى توقيف العامل أو احتجازه لدى الجهات المختصة في قضايا تتصل بالعمل أو بسببه فعلى صاحب العمل أن يستمر في دفع 50% من الأجر إلى العامل حتى يفصل في قضيته، على ألا تزيد مدة التوقيف أو الحجز على مائة وثمانين يومًا، فإذا زادت على ذلك فلا يلتزم صاحب العمل بدفع أي جزء من الأجر عن المدة الزائدة، فإذا قضي ببراءة العامل أو حفظ التحقيق لعدم ثبوت ما نسب إليه أو لعدم صحته، وجب على صاحب العمل أن يرد إلى العامل ما سبق حسمه من أجره، أما إذا قضي بإدانته فلا يستعاد منه ما صرف له ما لم ينص الحكم على خلاف ذلك.,المادة الثامنة عشرة بعد المائة : لا يجوز للعامل أثناء تمتعه بأي من إجازاته المنصوص عليها في هذا الفصل أن يعمل لدى صاحب عمل آخر، فإذا أثبت صاحب العمل أن العامل قد خالف ذلك فله أن يحرمه من أجره عن مدة الإجازة أو يسترد ما سبق أن أداه إليه من ذلك الأجر.
هل يجوز إلغاء ترخيص نشاط الاستقدام؟,المادة الرابعة والثلاثون : لا يغني عن رخصة العمل المشار إليها أي تصريح أو ترخيص يكون مطلوبًا من جهة أخرى لممارسة العمل أو المهنة.,"المادة الثلاثون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""1- لا يجوز لأي شخص طبيعي أو اعتباري أن يمارس نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. وتحدد اللائحة ضوابط ممارسة كل من هذه الأنشطة، وشروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها. 2- تقترح الوزارة قيمة رسوم ممارسة الأنشطة المشار إليها في الفقرة (1) من هذه المادة، وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية في هذا الشأن"".",المادة الخامسة بعد المائتين : يعد رئيس تفتيش العمل في مكتب العمل تقريرًا شهريًّا عن نشاط تفتيش العمل، ونواحي التفتيش، والمنشآت التي تم التفتيش عليها، وعدد المخالفات المرتكبة، ونوعها، والتدابير المتخذة بشأنها، كما يعد تقريرًا سنويًّا عن التفتيش في دائرة اختصاص مكتب العمل ونتائجه وآثاره، ويضمنه ملاحظاته ومقترحاته. وترسل نسخة من التقريرين إلى الوزارة.
ما علاقة العمالة الزراعية برؤية 2030؟,المادة الرابعة والثمانون : إذا انتهت علاقة العمل وجب على صاحب العمل أن يدفع إلى العامل مكافأة عن مدة خدمته تحسب على أساس أجر نصف شهر عن كل سنة من السنوات الخمس الأولى، وأجر شهر عن كل سنة من السنوات التالية، ويتخذ الأجر الأخير أساسًا لحساب المكافأة، ويستحق العامل مكافأة عن أجزاء السنة بنسبة ما قضاه منها في العمل.,"المادة الرابعة والثلاثون بعد المائتين: - إضافة مادة تحمل الرقم ( الرابعة والثلاثون بعد المائتين ) ليكون النص كالآتي "" أ- لا تقبل أمام المحاكم العمالية أي دعوى تتعلق بالمطالبة بحق من الحقوق المنصوص عليها في هذا النظام أو الناشئة عن عقد العمل بعد مضي اثني عشر شهاً من تاريخ انتهاء علاقة العمل، ما لم يقدم المدعي عذراً تقبله المحكمة، أو يصدر من المدعى عليه إقرار بالحق. ب- تنظر الدعاوى العمالية على وجه الاستعجال."" وأضيفت هذه المادة بموجب المرسوم الملكي رقم (م/14) وتاريخ 1440/2/22هـ",المادة الخامسة والثمانون : إذا كان انتهاء علاقة العمل بسبب استقالة العامل يستحق في هذه الحالة ثلث المكافأة بعد خدمة لا تقل مدتها عن سنتين متتاليتين، ولا تزيد على خمس سنوات، ويستحق ثلثيها إذا زادت مدة خدمته على خمس سنوات متتالية ولم تبلغ عشر سنوات، ويستحق المكافأة كاملة إذا بلغت مدة خدمته عشر سنوات فأكثر.
هل يحق لمفتش العمل دخول المنشأة ليلاً؟,"المادة الثامنة والتسعون بعد المائة : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت الفقرة (1) من هذه المادة لتكون بالنص الآتي "" دخول أي منشأة خاضعة لأحكام نظام العمل في أي وقت من أوقات عمل المنشأة دون إشعار سابق "".",المادة الأولى بعد المائتين : لمفتش العمل الحق في إصدار التعليمات إلى أصحاب العمل بإدخال التعديلات على قواعد العمل في الأجهزة والمعدات لديهم في الآجال التي يحددها، وذلك لضمان مراعاة الأحكام الخاصة بصحة العمال وسلامتهم، كما له في حالة وجود خطر يهدد صحة العمال وسلامتهم أن يطلب تنفيذ ما يراه لازمًا من إجراءات لدرء هذا الخطر فورًا.,المادة التاسعة والثمانون بعد المائة : يحظر دخول أماكن العمل وملحقاتها على غير العاملين فيها وعلى غير المكلفين بالتفتيش على المنجم أو المحجر والأشخاص الذين يحملون إذنًا خاصًّا من الجهة المختصة.
من يتحمل رسوم نقل الكفالة (نقل الخدمة)؟,المادة التاسعة والخمسون : لا يجوز نقل العامل ذي الأجر الشهري إلى فئة عمال اليومية أو العمال المعينين بالأجر الأسبوعي أو بالقطعة أو بالساعة، إلا إذا وافق العامل على ذلك كتابة، ومع عدم الإخلال بالحقوق التي اكتسبها العامل في المدة التي قضاها بالأجر الشهري.,"المادة الأربعون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت الفقرة (1) من هذه المادة لتكون بالنص الآتي "" يتحمل صاحب العمل رسوم استقدام العامل غير السعودي، ورسوم الإقامة ورخصة العمل وتجديدهما، وما يترتب على تأخير ذلك من غرامات يتسبب بها صاحب العمل، ورسوم تغيير المهنة، والخروج والعودة، وتذكرة عودة العامل إلى موطنه بعد انتهاء العلاقة بين الطرفين "".","المادة الثالثة والأربعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""مع عدم الإخلال بما تنص عليه اتفاقيات الامتياز وغيرها من الاتفاقيات من شروط وقواعد خاصة بالتدريب والتأهيل؛ على كل صاحب عمل يشغّل خمسين عاملاً فأكثر أن يؤهل أو يدرب على أعماله من عماله السعوديين ما لا يقل عن (12%) من مجموع عماله سنوياً، ويدخل ضمن هذه النسبة العمال السعوديون الذين يكملون دراساتهم إذا كان صاحب العمل يتحمل تكاليف الدراسة. وللوزير أن يرفع هذه النسبة في بعض المنشآت التي يحددها بقرار منه""."
ما هو 'التعويض البديل' عن الإشعار؟,"المادة السابعة والسبعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""ما لم يتضمن العقد تعويضاً محدداً مقابل إنهائه من أحد الطرفين لسبب غير مشروع، يستحق الطرف المتضرر من إنهاء العقد تعويضاً على النحو الآتي 1 - أجر خمسة عشر يوماً عن كل سنة من سنوات خدمة العامل، إذا كان العقد غير محدد المدة. 2 - أجر المدة الباقية من العقد إذا كان العقد محدد المدة. 3 - يجب ألا يقل التعويض المشار إليه في الفقرتين (1) و(2) من هذه المادة عن أجر العامل لمدة شهرين"".",المادة الرابعة والثلاثون بعد المائة : تعد الإصابة إصابة عمل وفق ما هو منصوص عليه في نظام التأمينات الاجتماعية، وتعد الأمراض المهنية في حكم إصابات العمل، كما يعد تاريخ أول مشاهدة طبية للمرض في حكم تاريخ الإصابة.,المادة الرابعة والتسعون : 1- إذا حسم من أجر العامل أي مبلغ لسبب غير ما هو منصوص عليه في هذا النظام بغير موافقته الكتابية، أو تأخر صاحب العمل عن أداء أجر العامل في موعد استحقاقه المحدد نظامًا دون مسوغ مشروع كان للعامل أو لمن يمثله أو مدير مكتب العمل المختص أن يتقدم بطلب إلى هيئة تسوية الخلافات العمالية، كي تأمر صاحب العمل أن يرد إلى العامل ما حسمه دون وجه حق، أو يدفع له أجوره المتأخرة. 2 - يجوز للهيئة المذكورة إذا ثبت لديها أن صاحب العمل حسم المبالغ المذكورة أو تأخر في سداد الأجر دون مسوغ أن توقع عليه غرامة لا تتجاوز ضعف ما حسم من أجر العامل أو ضعف قيمة الأجر المتأخر.
ما هي الحقوق في فترة الإشعار؟,"المادة الثالثة والخمسون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا كان العامل خاضعاً لفترة تجربة، وجب النص على ذلك صراحة في عقد العمل، وتحديدها بوضوح، بحيث لا تزيد على تسعين يوماً. ويجوز باتفاق مكتوب بين العامل وصاحب العمل تمديد فترة التجربة، على ألا تزيد على مائة وثمانين يوماً. ولا تدخل في حساب فترة التجربة إجازة عيدي الفطر والأضحى والإجازة المرضية. ولكل من الطرفين الحق في إنهاء العقد خلال هذه الفترة ما لم يتضمن العقد نصّا يعطي الحق في الإنهاء لأحدهما"".",المادة التاسعة : اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,المادة الثالثة بعد المائة : للوزير أن يحدد بقرار منه الحالات والأعمال التي يتحتم فيها استمرار العمل دون فترة راحة لأسباب فنية أو لظروف التشغيل، ويلتزم صاحب العمل في هذه الحالات والأعمال بإعطاء فترة للصلاة والطعام والراحة بطريقة تنظمها إدارة المنشأة أثناء العمل.
ما هو حكم البقشيش (الوهبة)؟,المادة الرابعة والثلاثون بعد المائة : تعد الإصابة إصابة عمل وفق ما هو منصوص عليه في نظام التأمينات الاجتماعية، وتعد الأمراض المهنية في حكم إصابات العمل، كما يعد تاريخ أول مشاهدة طبية للمرض في حكم تاريخ الإصابة.,المادة الخامسة والثلاثون بعد المائة : تعد في حكم الإصابة حالة الانتكاس أو أي مضاعفة تنشأ عنها، ويسري عليها بالنسبة للمعونة والعلاج ما يسري على الإصابة الأصلية.,المادة التاسعة : اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.
هل يجوز تشغيل النساء في الأعمال الخطرة؟,المادة الحادية والستون بعد المائة : لا يجوز تشغيل الأحداث في الأعمال الخطرة أو الصناعات الضارة، أو في المهن والأعمال التي يحتمل أن تعرض صحتهم أو سلامتهم أو أخلاقهم للخطر، بسبب طبيعتها أو الظروف التي تؤدى فيها. ويحدد الوزير بقرار منه الأعمال والصناعات والمهن المشار إليها.,"المادة التاسعة والأربعون بعد المائة : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""يُحظر تشغيل المرأة في المهن والأعمال الخطرة أو الضارة، ويحدد الوزير – بقرار منه – المهن والأعمال التي تعد خطرة أو ضارة من شأنها أن تعرض النساء لأخطار أو أضرار محددة مما يجب معه حظر عملهن فيها أو تقييده بشروط خاصة"".",المادة الرابعة والستون بعد المائة : لا يجوز تشغيل الأحداث تشغيلًا فعليًّا أكثر من ست ساعات في اليوم الواحد لسائر شهور السنة، عدا شهر رمضان، فيجب ألا تزيد ساعات العمل الفعلية فيه على أربع ساعات. وتنظم ساعات العمل بحيث لا يعمل الحدث أكثر من أربع ساعات متصلة دون فترة أو أكثر للراحة والطعام والصلاة، لا تقل في المرة الواحدة عن نصف ساعة، وبحيث لا يبقى في مكان العمل أكثر من سبع ساعات. ولا يجوز تشغيل الأحداث في أيام الراحة الأسبوعية أو في أيام الأعياد والعطلات الرسمية والإجازة السنوية. ولا تسري عليهم الاستثناءات التي نصت عليها المادة السادسة بعد المائة من هذا النظام.
كم عدد ساعات العمل اليومية القصوى؟,المادة المائة : يجوز لصاحب العمل- بموافقة الوزارة- في المنشآت التي تقتضي طبيعة العمل فيها أداء العمل بالتناوب زيادة ساعات العمل على ثماني ساعات عمل في اليوم أو ثمان وأربعين ساعة في الأسبوع، بشرط ألا يزيد متوسط ساعات العمل عند احتسابه لمدة ثلاثة أسابيع أو أقل على ثماني ساعات يوميًّا أو ثمان وأربعين ساعة أسبوعيًّا.,المادة السادسة بعد المائة : يجوز لصاحب العمل عدم التقيد بأحكام المواد الثامنة والتسعين والأولى بعد المائة والفقرة (1) من المادة الرابعة بعد المائة من هذا النظام في الحالات الآتية 1 - أعمال الجرد السنوي، وإعداد الميزانية، والتصفية، وقفل الحسابات، والاستعداد للبيع بأثمان مخفضة، والاستعداد للمواسم، بشرط ألا يزيد عدد الأيام التي يشتغل فيها العمال على ثلاثين يومًا في السنة. 2 - إذا كان العمل لمنع وقوع حادث خطر، أو إصلاح ما نشأ عنه، أو تلافي خسارة محققة لمواد قابلة للتلف. 3 - إذا كان التشغيل بقصد مواجهة ضغط عمل غير عادي. 4 - الأعياد والمواسم والمناسبات الأخرى والأعمال الموسمية التي تحدد بقرار من الوزير. ولا يجوز في جميع الحالات المتقدمة أن تزيد ساعات العمل الفعلية على عشر ساعات في اليوم، أو ستين ساعة في الأسبوع. ويحدد الوزير بقرار منه الحد الأقصى لساعات العمل الإضافية التي يسمح بها في السنة.,المادة الرابعة والستون بعد المائة : لا يجوز تشغيل الأحداث تشغيلًا فعليًّا أكثر من ست ساعات في اليوم الواحد لسائر شهور السنة، عدا شهر رمضان، فيجب ألا تزيد ساعات العمل الفعلية فيه على أربع ساعات. وتنظم ساعات العمل بحيث لا يعمل الحدث أكثر من أربع ساعات متصلة دون فترة أو أكثر للراحة والطعام والصلاة، لا تقل في المرة الواحدة عن نصف ساعة، وبحيث لا يبقى في مكان العمل أكثر من سبع ساعات. ولا يجوز تشغيل الأحداث في أيام الراحة الأسبوعية أو في أيام الأعياد والعطلات الرسمية والإجازة السنوية. ولا تسري عليهم الاستثناءات التي نصت عليها المادة السادسة بعد المائة من هذا النظام.
هل يسمح بدخول أي شخص للمنجم؟,المادة الثانية والستون بعد المائة : 1- لا يجوز تشغيل أي شخص لم يتم الخامسة عشرة من عمره ولا يسمح له بدخول أماكن العمل، وللوزير أن يرفع هذه السن في بعض الصناعات أو المناطق أو بالنسبة لبعض فئات الأحداث بقرار منه . 2 - استثناء من الفقرة (1) من هذه المادة يجوز للوزير أن يسمح بتشغيل أو عمل الأشخاص الذين تتراوح أعمارهم ما بين 13- 15 سنة في أعمال خفيفة، يراعى فيها الآتي 2 /1 - ألا يحتمل أن تكون ضارة بصحتهم أو نموهم. 2 /2 - ألا تعطل مواظبتهم في المدرسة واشتراكهم في برامج التوجيه أو التدريب المهني، ولا تضعف قدرتهم على الاستفادة من التعليم الذي يتلقونه.,المادة الثالثة والستون : على صاحب العمل أو وكيله أو أي شخص له سلطة على العمال، منع دخول أي مادة محرمة شرعًا إلى أماكن العمل، ويطبق بحق من وجدت لديه أو من تعاطاها العقوبات المقررة في هذا النظام، مع عدم الإخلال بالعقوبات الشرعية.,"المادة السادسة والثمانون بعد المائة : - عُدلت هذه المادة وذلك بموجب المرسوم الملكي رقم (م / 5) وتاريخ 7 / 1 / 1442هـ، لتكون بالنص الآتي ""لا يجوز تشغيل أي شخص في المنجم أو المحجر لم يتم الثامنة عشرة من العمر""."
أين أجد تفاصيل أكثر عن صندوق الموارد البشرية؟,"المادة الثانية والأربعون بعد المائتين : تم تعديل هذه المادة ونقلها لتكون (الثانية والثلاثين بعد المائتين) بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ بالنص الآتي ""المادة الثانية والثلاثون بعد المائتين يتم تحصيل الغرامات المقررة بموجب هذا النظام، وفقاً للإجراءات المتبعة في تحصيل الأموال العامة، وتؤول المبالغ إلى صندوق تنمية الموارد البشرية"".",المادة الخامسة والأربعون بعد المائة : يجوز لصاحب العمل بعد موافقة الوزير إنشاء صندوق للتوفير والادخار، على أن تكون مساهمة العمال فيه اختيارية. ويجب إعلان الأحكام المنظمة لكل ما يتصل بقواعد عمل هذا الصندوق.,المادة الحادية والسبعون بعد المائة : يجب أن ينص في عقد العمل البحري على تاريخ إبرامه ومكانه، واسم المجهز، واسم البحار ولقبه وسنه وجنسيته وموطنه، ونوع العمل المكلف به، وكيفية أدائه، والشهادة التي تتيح له العمل في الملاحة البحرية، والتذكرة الشخصية البحرية، ومقدار الأجر، ومدة العقد، أما إذا كان العقد لسفرة واحدة فيجب تحديد المدينة أو المرفأ البحري الذي تنتهي عنده الرحلة، وفي أي مرحلة من مراحل تفريغ السفينة أو تحميلها في هذا المرفأ ينتهي العمل، وغير ذلك من تفاصيل العقد. ويكون العقد من ثلاث نسخ نسخة لمجهز السفينة، ونسخة للربان للاحتفاظ بها على ظهر السفينة، ونسخة للبحار.
ماذا يفعل العامل إذا أصيب إصابة عمل؟,المادة التاسعة والعشرون : إذا أصيب أي عامل إصابة عمل نتج عنها نقص في قدراته المعتادة لا يمنعه من أداء عمل آخر غير عمله السابق، فإن على صاحب العمل الذي وقعت إصابة العامل بسبب العمل لديه توظيفه في العمل المناسب بالأجر المحدد لهذا العمل. ولا يخل هذا بما يستحقه من تعويض عن إصابته.,المادة الثالثة والثلاثون بعد المائة : إذا أصيب العامل بإصابة عمل، أو بمرض مهني، فإن صاحب العمل يلتزم بعلاجه، ويتحمل جميع النفقات اللازمة لذلك، بطريقة مباشرة أو غير مباشرة، بما فيها الإقامة في المستشفى، والفحوص والتحاليل الطبية، والأشعة، والأجهزة التعويضية، ونفقات الانتقال إلى أماكن العلاج.,المادة التاسعة والثلاثون بعد المائة : لا يلزم صاحب العمل بما ورد في المواد الثالثة والثلاثين بعد المائة والسابعة والثلاثين بعد المائة والثامنة والثلاثين بعد المائة من هذا النظام إذا ثبت أي مما يأتي 1 - أن العامل تعمد إصابة نفسه. 2 - أن الإصابة حدثت بسبب سوء سلوك مقصود من جانب العامل. 3 - أن العامل امتنع عن عرض نفسه على طبيب، أو امتنع عن قبول معالجة الطبيب المكلف بعلاجه من قبل صاحب العمل دون سبب مشروع.
