المادة القانونية (م),السؤال,الإجابة,Article_label,Article,Text,Gold_Article,Gold_Text,Overlap_Jaccard,Coverage_Answer_in_Article,Coverage_Article_in_Answer,Answer_Length_Tokens,Article_Length_Tokens,Manual_Correctness,Manual_Grammar,Manual_Style,Relevance,Notes
الحادية والعشرون,متى يجب على الوزير التنسيق مع الجهات ذات العلاقة؟,كلما اقتضى الأمر ذلك.,الحادية والعشرون,المادة الحادية والعشرون ,على الوزير- في سبيل تنفيذ أحكام هذا النظام- التنسيق مع الجهات ذات العلاقة كلما اقتضى الأمر ذلك.,المادة الحادية والعشرون ,على الوزير- في سبيل تنفيذ أحكام هذا النظام- التنسيق مع الجهات ذات العلاقة كلما اقتضى الأمر ذلك.,0.23529411764705882,1.0,0.23529411764705882,4,17,,,,,
الحادية والعشرون,من هي الجهات التي يجب على الوزير التنسيق معها؟,الجهات ذات العلاقة.,الحادية والعشرون,المادة الحادية والعشرون ,على الوزير- في سبيل تنفيذ أحكام هذا النظام- التنسيق مع الجهات ذات العلاقة كلما اقتضى الأمر ذلك.,المادة الحادية والعشرون ,على الوزير- في سبيل تنفيذ أحكام هذا النظام- التنسيق مع الجهات ذات العلاقة كلما اقتضى الأمر ذلك.,0.17647058823529413,1.0,0.17647058823529413,3,17,,,,,
الثانية والعشرون,ما هو الدور الجديد للوزارة فيما يتعلق بالتوظيف حسب التعديل الأخير؟,توفر الوزارة قنوات للتوظيف دون مقابل.,الثانية والعشرون,المادة الثانية والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعُدلت هذه المادة على النحو الآتي - عُدل صدر هذه المادة ليكون بالنص الآتي "" توفر الوزارة قنوات للتوظيف دون مقابل، تقوم بما يأتي"". - عُدلت الفقرة (3/3) لتكون بالنص الآتي ""مواءمة طلبات طالبي العمل مع الأعمال الشاغرة وفق مؤهلاتهم"".",المادة الثانية والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعُدلت هذه المادة على النحو الآتي - عُدل صدر هذه المادة ليكون بالنص الآتي "" توفر الوزارة قنوات للتوظيف دون مقابل، تقوم بما يأتي"". - عُدلت الفقرة (3/3) لتكون بالنص الآتي ""مواءمة طلبات طالبي العمل مع الأعمال الشاغرة وفق مؤهلاتهم"".",0.11320754716981132,1.0,0.11320754716981132,6,63,,,,,
الثانية والعشرون,ما هي إحدى المهام الرئيسية لقنوات التوظيف التي توفرها الوزارة؟,مواءمة طلبات طالبي العمل مع الأعمال الشاغرة وفق مؤهلاتهم.,الثانية والعشرون,المادة الثانية والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعُدلت هذه المادة على النحو الآتي - عُدل صدر هذه المادة ليكون بالنص الآتي "" توفر الوزارة قنوات للتوظيف دون مقابل، تقوم بما يأتي"". - عُدلت الفقرة (3/3) لتكون بالنص الآتي ""مواءمة طلبات طالبي العمل مع الأعمال الشاغرة وفق مؤهلاتهم"".",المادة الثانية والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعُدلت هذه المادة على النحو الآتي - عُدل صدر هذه المادة ليكون بالنص الآتي "" توفر الوزارة قنوات للتوظيف دون مقابل، تقوم بما يأتي"". - عُدلت الفقرة (3/3) لتكون بالنص الآتي ""مواءمة طلبات طالبي العمل مع الأعمال الشاغرة وفق مؤهلاتهم"".",0.16981132075471697,1.0,0.16981132075471697,9,63,,,,,
الثانية والعشرون,"ما هي الكلمة التي تم إحلالها محل كلمتي ""وحدة"" و ""وحدات"" في هذه المادة والمواد المماثلة؟","تم إحلال كلمة ""قنوات"" محلها.",الثانية والعشرون,المادة الثانية والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعُدلت هذه المادة على النحو الآتي - عُدل صدر هذه المادة ليكون بالنص الآتي "" توفر الوزارة قنوات للتوظيف دون مقابل، تقوم بما يأتي"". - عُدلت الفقرة (3/3) لتكون بالنص الآتي ""مواءمة طلبات طالبي العمل مع الأعمال الشاغرة وفق مؤهلاتهم"".",المادة الثانية والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعُدلت هذه المادة على النحو الآتي - عُدل صدر هذه المادة ليكون بالنص الآتي "" توفر الوزارة قنوات للتوظيف دون مقابل، تقوم بما يأتي"". - عُدلت الفقرة (3/3) لتكون بالنص الآتي ""مواءمة طلبات طالبي العمل مع الأعمال الشاغرة وفق مؤهلاتهم"".",0.017543859649122806,0.2,0.018867924528301886,5,63,,,,,
السادسة والعشرون,ما هي النسبة الدنيا المفروضة لتوظيف العمال السعوديين من مجموع عمال صاحب العمل؟,يجب ألا تقل النسبة عن 75% من مجموع عماله.,السادسة والعشرون,المادة السادسة والعشرون ,1- على جميع المنشآت في مختلف أنشطتها، وأيًّا كان عدد العاملين فيها، العمل على استقطاب السعوديين وتوظيفهم، وتوفير وسائل استمرارهم في العمل، وإتاحة الفرصة المناسبة لهم لإثبات صلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم للأعمال الموكولة إليهم. 2- يجب ألا تقل نسبة العمال السعوديين الذين يستخدمهم صاحب العمل عن 75% من مجموع عماله. وللوزير في حالة عدم توافر الكفايات الفنية أو المؤهلات الدراسية، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتًا.,المادة السادسة والعشرون ,1- على جميع المنشآت في مختلف أنشطتها، وأيًّا كان عدد العاملين فيها، العمل على استقطاب السعوديين وتوظيفهم، وتوفير وسائل استمرارهم في العمل، وإتاحة الفرصة المناسبة لهم لإثبات صلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم للأعمال الموكولة إليهم. 2- يجب ألا تقل نسبة العمال السعوديين الذين يستخدمهم صاحب العمل عن 75% من مجموع عماله. وللوزير في حالة عدم توافر الكفايات الفنية أو المؤهلات الدراسية، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتًا.,0.13846153846153847,1.0,0.13846153846153847,9,73,,,,,
السادسة والعشرون,متى يجوز للوزير خفض نسبة توظيف السعوديين (75%) مؤقتاً؟,في حالة عدم توافر الكفايات الفنية أو المؤهلات الدراسية، أو تعذر إشغال الوظائف بالمواطنين.,السادسة والعشرون,المادة السادسة والعشرون ,1- على جميع المنشآت في مختلف أنشطتها، وأيًّا كان عدد العاملين فيها، العمل على استقطاب السعوديين وتوظيفهم، وتوفير وسائل استمرارهم في العمل، وإتاحة الفرصة المناسبة لهم لإثبات صلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم للأعمال الموكولة إليهم. 2- يجب ألا تقل نسبة العمال السعوديين الذين يستخدمهم صاحب العمل عن 75% من مجموع عماله. وللوزير في حالة عدم توافر الكفايات الفنية أو المؤهلات الدراسية، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتًا.,المادة السادسة والعشرون ,1- على جميع المنشآت في مختلف أنشطتها، وأيًّا كان عدد العاملين فيها، العمل على استقطاب السعوديين وتوظيفهم، وتوفير وسائل استمرارهم في العمل، وإتاحة الفرصة المناسبة لهم لإثبات صلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم للأعمال الموكولة إليهم. 2- يجب ألا تقل نسبة العمال السعوديين الذين يستخدمهم صاحب العمل عن 75% من مجموع عماله. وللوزير في حالة عدم توافر الكفايات الفنية أو المؤهلات الدراسية، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتًا.,0.2,1.0,0.2,14,73,,,,,
السادسة والعشرون,ما هو واجب جميع المنشآت تجاه العمال السعوديين بالإضافة إلى توظيفهم؟,العمل على توفير وسائل استمرارهم في العمل، وإتاحة الفرصة المناسبة لهم لإثبات صلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم.,السادسة والعشرون,المادة السادسة والعشرون ,1- على جميع المنشآت في مختلف أنشطتها، وأيًّا كان عدد العاملين فيها، العمل على استقطاب السعوديين وتوظيفهم، وتوفير وسائل استمرارهم في العمل، وإتاحة الفرصة المناسبة لهم لإثبات صلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم للأعمال الموكولة إليهم. 2- يجب ألا تقل نسبة العمال السعوديين الذين يستخدمهم صاحب العمل عن 75% من مجموع عماله. وللوزير في حالة عدم توافر الكفايات الفنية أو المؤهلات الدراسية، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتًا.,المادة السادسة والعشرون ,1- على جميع المنشآت في مختلف أنشطتها، وأيًّا كان عدد العاملين فيها، العمل على استقطاب السعوديين وتوظيفهم، وتوفير وسائل استمرارهم في العمل، وإتاحة الفرصة المناسبة لهم لإثبات صلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم للأعمال الموكولة إليهم. 2- يجب ألا تقل نسبة العمال السعوديين الذين يستخدمهم صاحب العمل عن 75% من مجموع عماله. وللوزير في حالة عدم توافر الكفايات الفنية أو المؤهلات الدراسية، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتًا.,0.25757575757575757,0.9444444444444444,0.26153846153846155,19,73,,,,,
الثامنة والعشرون,متى يجب على صاحب العمل توظيف العامل الذي أصيب إصابة عمل؟,إذا نتج عنها نقص في قدراته المعتادة لا يمنعه من أداء عمل آخر غير عمله السابق.,الثامنة والعشرون,المادة الثامنة والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة على النحو الآتي - إحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة. -إحلال كلمة ""الوزارة"" محل عبارة ""مكتب العمل المختص"". أينما وردت في المادة. - إحلال عبارة ""التي يشغلها ذوو الإعاقة"" محل عبارة ""التي يشغلها المعوقون"".",المادة الثامنة والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة على النحو الآتي - إحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة. -إحلال كلمة ""الوزارة"" محل عبارة ""مكتب العمل المختص"". أينما وردت في المادة. - إحلال عبارة ""التي يشغلها ذوو الإعاقة"" محل عبارة ""التي يشغلها المعوقون"".",0.031746031746031744,0.125,0.04081632653061224,16,66,0,,,,إحالة خاطئة: المادة الصحيحة للّغة هي التاسعة.
الثامنة والعشرون,ما هو واجب صاحب العمل تجاه العامل المصاب في هذه الحالة؟,توظيفه في العمل المناسب بالأجر المحدد لهذا العمل.,الثامنة والعشرون,المادة الثامنة والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة على النحو الآتي - إحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة. -إحلال كلمة ""الوزارة"" محل عبارة ""مكتب العمل المختص"". أينما وردت في المادة. - إحلال عبارة ""التي يشغلها ذوو الإعاقة"" محل عبارة ""التي يشغلها المعوقون"".",المادة الثامنة والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة على النحو الآتي - إحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة. -إحلال كلمة ""الوزارة"" محل عبارة ""مكتب العمل المختص"". أينما وردت في المادة. - إحلال عبارة ""التي يشغلها ذوو الإعاقة"" محل عبارة ""التي يشغلها المعوقون"".",0.037037037037037035,0.2857142857142857,0.04081632653061224,8,66,0,,,,إحالة خاطئة: المادة الصحيحة للّغة هي التاسعة.
الثامنة والعشرون,هل يؤثر هذا التوظيف الجديد على حق العامل في التعويض عن إصابته؟,لا يخل هذا بما يستحقه من تعويض عن إصابته.,الثامنة والعشرون,المادة الثامنة والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة على النحو الآتي - إحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة. -إحلال كلمة ""الوزارة"" محل عبارة ""مكتب العمل المختص"". أينما وردت في المادة. - إحلال عبارة ""التي يشغلها ذوو الإعاقة"" محل عبارة ""التي يشغلها المعوقون"".",المادة الثامنة والعشرون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة على النحو الآتي - إحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة. -إحلال كلمة ""الوزارة"" محل عبارة ""مكتب العمل المختص"". أينما وردت في المادة. - إحلال عبارة ""التي يشغلها ذوو الإعاقة"" محل عبارة ""التي يشغلها المعوقون"".",0.017543859649122806,0.1111111111111111,0.02040816326530612,9,66,0,,,,إحالة خاطئة: المادة الصحيحة للّغة هي التاسعة.
الثلاثون,ما هي الأنشطة التي لا يجوز ممارستها إلا بترخيص من الوزارة؟,نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد.,الثلاثون,المادة الثلاثون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""1- لا يجوز لأي شخص طبيعي أو اعتباري أن يمارس نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. وتحدد اللائحة ضوابط ممارسة كل من هذه الأنشطة، وشروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها. 2- تقترح الوزارة قيمة رسوم ممارسة الأنشطة المشار إليها في الفقرة (1) من هذه المادة، وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية في هذا الشأن"".",المادة الثلاثون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""1- لا يجوز لأي شخص طبيعي أو اعتباري أن يمارس نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. وتحدد اللائحة ضوابط ممارسة كل من هذه الأنشطة، وشروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها. 2- تقترح الوزارة قيمة رسوم ممارسة الأنشطة المشار إليها في الفقرة (1) من هذه المادة، وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية في هذا الشأن"".",0.07142857142857142,1.0,0.07142857142857142,10,123,,,,,
الثلاثون,من هي الجهة التي تحدد ضوابط ممارسة هذه الأنشطة وشروط منح الترخيص؟,اللائحة.,الثلاثون,المادة الثلاثون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""1- لا يجوز لأي شخص طبيعي أو اعتباري أن يمارس نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. وتحدد اللائحة ضوابط ممارسة كل من هذه الأنشطة، وشروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها. 2- تقترح الوزارة قيمة رسوم ممارسة الأنشطة المشار إليها في الفقرة (1) من هذه المادة، وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية في هذا الشأن"".",المادة الثلاثون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""1- لا يجوز لأي شخص طبيعي أو اعتباري أن يمارس نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. وتحدد اللائحة ضوابط ممارسة كل من هذه الأنشطة، وشروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها. 2- تقترح الوزارة قيمة رسوم ممارسة الأنشطة المشار إليها في الفقرة (1) من هذه المادة، وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية في هذا الشأن"".",0.01020408163265306,1.0,0.01020408163265306,1,123,,,,,
الثلاثون,ما هي مهمة الوزارة فيما يتعلق برسوم ممارسة هذه الأنشطة؟,تقترح الوزارة قيمة رسوم ممارسة الأنشطة وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية.,الثلاثون,المادة الثلاثون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""1- لا يجوز لأي شخص طبيعي أو اعتباري أن يمارس نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. وتحدد اللائحة ضوابط ممارسة كل من هذه الأنشطة، وشروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها. 2- تقترح الوزارة قيمة رسوم ممارسة الأنشطة المشار إليها في الفقرة (1) من هذه المادة، وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية في هذا الشأن"".",المادة الثلاثون ,"- صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""1- لا يجوز لأي شخص طبيعي أو اعتباري أن يمارس نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. وتحدد اللائحة ضوابط ممارسة كل من هذه الأنشطة، وشروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها. 2- تقترح الوزارة قيمة رسوم ممارسة الأنشطة المشار إليها في الفقرة (1) من هذه المادة، وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية في هذا الشأن"".",0.12244897959183673,1.0,0.12244897959183673,12,123,,,,,
الثانية والثلاثون,متى لا يجوز الاستقدام بقصد العمل؟,لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة.,الثانية والثلاثون,المادة الثانية والثلاثون ,لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة .,المادة الثانية والثلاثون ,لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة .,1.0,1.0,1.0,9,9,,,,,
الثانية والثلاثون,من هي الجهة التي يجب الحصول على موافقتها للاستقدام بقصد العمل؟,الوزارة.,الثانية والثلاثون,المادة الثانية والثلاثون ,لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة .,المادة الثانية والثلاثون ,لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة .,0.1111111111111111,1.0,0.1111111111111111,1,9,,,,,
الثانية والثلاثون,هل يجوز الاستقدام بقصد العمل دون موافقة الوزارة؟,لا يجوز.,الثانية والثلاثون,المادة الثانية والثلاثون ,لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة .,المادة الثانية والثلاثون ,لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة .,0.2222222222222222,1.0,0.2222222222222222,2,9,,,,,
الثالثة والثلاثون,ما هو الشرط الأساسي الذي يجب توافره لغير السعودي ليمارس العمل؟,الحصول على رخصة عمل من الوزارة وفق النموذج الذي تعده لهذا الغرض.,الثالثة والثلاثون,المادة الثالثة والثلاثون ,لا يجوز لغير السعودي أن يمارس عملًا، ولا يجوز أن يسمح له بمزاولته، إلا بعد الحصول على رخصة عمل من الوزارة وفق النموذج الذي تعده لهذا الغرض. ويشترط لمنح الرخصة ما يأتي 1 - أن يكون العامل قد دخل البلاد بطريقة مشروعة ومصرحًا له بالعمل. 2 - أن يكون من ذوي الكفايات المهنية أو المؤهلات الدراسية التي تحتاج إليها البلاد، ولا يوجد من أبناء البلاد من يحملها أو كان العدد الموجود منهم لا يفي بالحاجة، أو يكون من فئة العمال العاديين التي تحتاج إليها البلاد. 3 - أن يكون متعاقدًا مع صاحب عمل وتحت مسؤوليته. ويقصد بكلمة (العمل) في هذه المادة كل عمل صناعي أو تجاري أو زراعي أو مالي أو غيره وأي خدمة بما في ذلك الخدمة المنزلية.,المادة الثالثة والثلاثون ,لا يجوز لغير السعودي أن يمارس عملًا، ولا يجوز أن يسمح له بمزاولته، إلا بعد الحصول على رخصة عمل من الوزارة وفق النموذج الذي تعده لهذا الغرض. ويشترط لمنح الرخصة ما يأتي 1 - أن يكون العامل قد دخل البلاد بطريقة مشروعة ومصرحًا له بالعمل. 2 - أن يكون من ذوي الكفايات المهنية أو المؤهلات الدراسية التي تحتاج إليها البلاد، ولا يوجد من أبناء البلاد من يحملها أو كان العدد الموجود منهم لا يفي بالحاجة، أو يكون من فئة العمال العاديين التي تحتاج إليها البلاد. 3 - أن يكون متعاقدًا مع صاحب عمل وتحت مسؤوليته. ويقصد بكلمة (العمل) في هذه المادة كل عمل صناعي أو تجاري أو زراعي أو مالي أو غيره وأي خدمة بما في ذلك الخدمة المنزلية.,0.13953488372093023,1.0,0.13953488372093023,12,116,,,,,
الثالثة والثلاثون,اذكر شرطين من الشروط اللازمة لمنح رخصة العمل لغير السعودي؟,1- دخوله البلاد بطريقة مشروعة ومصرحًا له بالعمل. 2- أن يكون من ذوي الكفايات المهنية أو المؤهلات الدراسية التي تحتاج إليها البلاد.,الثالثة والثلاثون,المادة الثالثة والثلاثون ,لا يجوز لغير السعودي أن يمارس عملًا، ولا يجوز أن يسمح له بمزاولته، إلا بعد الحصول على رخصة عمل من الوزارة وفق النموذج الذي تعده لهذا الغرض. ويشترط لمنح الرخصة ما يأتي 1 - أن يكون العامل قد دخل البلاد بطريقة مشروعة ومصرحًا له بالعمل. 2 - أن يكون من ذوي الكفايات المهنية أو المؤهلات الدراسية التي تحتاج إليها البلاد، ولا يوجد من أبناء البلاد من يحملها أو كان العدد الموجود منهم لا يفي بالحاجة، أو يكون من فئة العمال العاديين التي تحتاج إليها البلاد. 3 - أن يكون متعاقدًا مع صاحب عمل وتحت مسؤوليته. ويقصد بكلمة (العمل) في هذه المادة كل عمل صناعي أو تجاري أو زراعي أو مالي أو غيره وأي خدمة بما في ذلك الخدمة المنزلية.,المادة الثالثة والثلاثون ,لا يجوز لغير السعودي أن يمارس عملًا، ولا يجوز أن يسمح له بمزاولته، إلا بعد الحصول على رخصة عمل من الوزارة وفق النموذج الذي تعده لهذا الغرض. ويشترط لمنح الرخصة ما يأتي 1 - أن يكون العامل قد دخل البلاد بطريقة مشروعة ومصرحًا له بالعمل. 2 - أن يكون من ذوي الكفايات المهنية أو المؤهلات الدراسية التي تحتاج إليها البلاد، ولا يوجد من أبناء البلاد من يحملها أو كان العدد الموجود منهم لا يفي بالحاجة، أو يكون من فئة العمال العاديين التي تحتاج إليها البلاد. 3 - أن يكون متعاقدًا مع صاحب عمل وتحت مسؤوليته. ويقصد بكلمة (العمل) في هذه المادة كل عمل صناعي أو تجاري أو زراعي أو مالي أو غيره وأي خدمة بما في ذلك الخدمة المنزلية.,0.22988505747126436,0.9523809523809523,0.23255813953488372,22,116,,,,,
الثالثة والثلاثون,هل تشمل كلمة (العمل) في هذه المادة الخدمة المنزلية؟,نعم، يقصد بكلمة (العمل) كل عمل صناعي أو تجاري أو زراعي أو مالي أو غيره وأي خدمة بما في ذلك الخدمة المنزلية.,الثالثة والثلاثون,المادة الثالثة والثلاثون ,لا يجوز لغير السعودي أن يمارس عملًا، ولا يجوز أن يسمح له بمزاولته، إلا بعد الحصول على رخصة عمل من الوزارة وفق النموذج الذي تعده لهذا الغرض. ويشترط لمنح الرخصة ما يأتي 1 - أن يكون العامل قد دخل البلاد بطريقة مشروعة ومصرحًا له بالعمل. 2 - أن يكون من ذوي الكفايات المهنية أو المؤهلات الدراسية التي تحتاج إليها البلاد، ولا يوجد من أبناء البلاد من يحملها أو كان العدد الموجود منهم لا يفي بالحاجة، أو يكون من فئة العمال العاديين التي تحتاج إليها البلاد. 3 - أن يكون متعاقدًا مع صاحب عمل وتحت مسؤوليته. ويقصد بكلمة (العمل) في هذه المادة كل عمل صناعي أو تجاري أو زراعي أو مالي أو غيره وأي خدمة بما في ذلك الخدمة المنزلية.,المادة الثالثة والثلاثون ,لا يجوز لغير السعودي أن يمارس عملًا، ولا يجوز أن يسمح له بمزاولته، إلا بعد الحصول على رخصة عمل من الوزارة وفق النموذج الذي تعده لهذا الغرض. ويشترط لمنح الرخصة ما يأتي 1 - أن يكون العامل قد دخل البلاد بطريقة مشروعة ومصرحًا له بالعمل. 2 - أن يكون من ذوي الكفايات المهنية أو المؤهلات الدراسية التي تحتاج إليها البلاد، ولا يوجد من أبناء البلاد من يحملها أو كان العدد الموجود منهم لا يفي بالحاجة، أو يكون من فئة العمال العاديين التي تحتاج إليها البلاد. 3 - أن يكون متعاقدًا مع صاحب عمل وتحت مسؤوليته. ويقصد بكلمة (العمل) في هذه المادة كل عمل صناعي أو تجاري أو زراعي أو مالي أو غيره وأي خدمة بما في ذلك الخدمة المنزلية.,0.19318181818181818,0.8947368421052632,0.19767441860465115,22,116,,,,,
